Chemical Name,SMILES,Hydration Free Energy (kcal/mol),Train/Test
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,test
1-methylimidazole,Cn1ccnc1,-8.41,test
2-pentanone,CCCC(C)=O,-3.53,train
anthracene,c1ccc2cc3ccccc3cc2c1,-4.23,test
2-chloroaniline,c1ccc(c(c1)N)Cl,-4.91,test
octan-1-amine,CCCCCCCCN,-3.65,train
caffeine,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,-12.64,test
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,-0.25,train
2-iodopropane,CC(C)I,-0.46,train
4-tert-butylphenol,CC(C)(C)c1ccc(cc1)O,-5.91,test
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,train
tetrafluoromethane,FC(F)(F)F,3.16,train
"1,1-diphenylethene",C=C(c1ccccc1)c2ccccc2,-2.78,train
"N1,N1-diethyl-2,6-dinitro-4-trifluoromethyl-m-phenylenediamine(dinitramine)",CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,-5.7,train
methylpentanoate,CCCCC(=O)OC,-2.57,train
butylbenzene,CCCCc1ccccc1,-0.4,train
n-octane,CCCCCCCC,2.89,test
4-methoxybenzoicacid,COc1ccc(cc1)C(O)=O,-9.15,test
N-methylaniline,CNc1ccccc1,-4.68,train
1-methylcyclohexene,CC1=CCCCC1,0.67,train
benzene,c1ccccc1,-0.87,train
biphenyl,c1ccc(cc1)c2ccccc2,-2.7,train
nitroethane,CC[N+]([O-])=O,-3.71,train
"1,2,2-trifluoroethoxybenzene",c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,train
diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,train
butylamine,CCCCN,-4.29,train
bromotrifluoromethane,FC(F)(F)Br,1.79,train
"dimethyl(RS)-2,2,2-trichloro-1-hydroxyethylphosphonate(trichlorfon)",CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-12.7,train
3-chloroaniline,c1cc(cc(c1)Cl)N,-5.82,train
1-hexyne,CCCCC#C,0.29,test
3-methoxyphenol,COc1cccc(c1)O,-7.66,train
3-methylpyridine,Cc1cccnc1,-4.77,train
styrene,C=Cc1ccccc1,-1.24,test
n-butane,CCCC,2.08,train
"dimethyl2,4,5-trichlorophenylthiophosphate",C[S](C)(c1cc(Cl)c(Cl)cc1Cl)=[P]([O-])([O-])[O-],-5.06,train
3-methoxybenzoicacid,COc1cccc(c1)C(O)=O,-8.93,test
"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,2.93,train
benzamide,NC(=O)c1ccccc1,-10.9,test
1-iodoheptane,CCCCCCCI,0.27,train
1-methylnaphthalene,Cc1cccc2c1cccc2,-2.44,train
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,train
trichloro(nitro)methane(chloropicrin),[O-][N+](=O)C(Cl)(Cl)Cl,-1.5,train
trifluoromethylbenzene,c1ccc(cc1)C(F)(F)F,-0.25,train
1-octanol,CCCCCCCCO,-4.09,train
"6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepine-3-oxide(endosulfanalpha)",ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,-4.2,train
1-pentanol,CCCCCO,-4.47,train
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,train
"2,6-dimethylnaphthalene",Cc1ccc2cc(ccc2c1)C,-2.63,train
1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-9.8,train
diphenyl ether,c1ccc(cc1)Oc2ccccc2,-2.87,train
ethyleneglycoldiacetate,CC(=O)OCCOC(=O)C,-6.34,train
2-propoxyethanol,CCCOCCO,-6.4,train
isopropylether,CC(C)OC(C)C,-0.53,train
ibuprofen(racemic),CC(C)Cc1ccc(cc1)C(C)C(O)=O,-7,train
