Chemical name,LogS exp (mol/L),SMILES,Unnamed: 3,Unnamed: 4,Unnamed: 5,dmw,MW,ORISET,REF,FOLD,Predicted HFE from extra trees (kcal/mol),weight (g),can SMILES
Alprazolam_(Xanax),-3.6,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,0,0,0,#VALUE!,308.77,PAL08,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2008 Palmer Set,-7.42,308.082874096,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
naphthalene,-3.61,c1ccc2ccccc2c1,0,0,0,-180.6,128.174,HUG-tr,"Rytting et al., AAPS J, 7:E78 (2005)",2008 Palmer Set,-2.39,128.062600256,c1ccc2ccccc2c1
Acetazolamide,-2.44,O=S(=O)(c1nnc(s1)NC(=O)C)N,0,0,0,93.8,221.988,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-12.24,221.988132052,CC(=O)Nc1nnc(S(N)(=O)=O)s1
Alclofenac,-3.13,Clc1cc(ccc1OC\C=C)CC(=O)O,0,0,0,4.1,226.04,DLS,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-9.22,226.039671892,C=CCOc1ccc(CC(=O)O)cc1Cl
Ambroxol,-3.87,O[C@@H]2CC[C@@H](NCc1cc(Br)cc(Br)c1N)CC2,0,0,0,149.9,375.979,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-8.76,375.978587396,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1
Aripiprazazol,-6.64,O=C1Nc2c(ccc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)c2)CC1,0,0,0,71.2,447.148,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-9.92,447.148032464,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
Aspirin_(acetylsalicylic_acid),-1.74,O=C(C)Oc1ccccc1C(=O)O,0,0,0,-267,180.159,HUG-ts,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-9.94,180.042258736,CC(=O)Oc1ccccc1C(=O)O
"Atovaquone(0,430mg/ml) - neutral",-5.93,O=C1c2ccccc2C(=O)C(O)=C1C1CCC(CC1)c1ccc([Cl])cc1,0,0,0,186.7,366.844,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-9.59,366.102272148,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
Atrazine,-3.49,CCNc1nc(Cl)nc(NC(C)C)n1,0,0,0,-151.2,215.688,HUG-ts,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-9.26,215.093773128,CCNc1nc(Cl)nc(NC(C)C)n1
Baclofen,-1.7,ClC1=CC=C(C(CC(O)=O)CN)C=C1,0,0,0,-2,213.664,HUG-ts,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-9.34,213.055656304,NCC(CC(=O)O)c1ccc(Cl)cc1
